postal_code_prefix_3,fulfillment_center,total_orders,downgraded_orders,two_day_orders,one_day_orders,other_orders,paid_shipping_orders
588,US-PA-MDT,1,0,1,0,0,0
591,US-PA-MDT,6,0,5,1,0,1
593,US-PA-MDT,1,0,1,0,0,0
595,US-PA-MDT,1,1,0,0,0,1
596,US-PA-MDT,1,0,1,0,0,0
597,US-PA-MDT,3,0,2,1,0,1
598,US-PA-MDT,4,1,3,0,0,0
599,US-PA-MDT,1,0,1,0,0,0
600,US-PA-MDT,44,37,5,2,0,1
601,US-PA-MDT,35,34,1,0,0,0
602,US-PA-MDT,2,2,0,0,0,0
603,US-PA-MDT,4,4,0,0,0,0
604,US-PA-MDT,12,10,1,1,0,1
605,US-PA-MDT,27,26,0,1,0,0
606,US-PA-MDT,87,75,5,7,0,5
608,US-PA-MDT,2,1,0,1,0,0
609,US-PA-MDT,1,1,0,0,0,0
610,US-PA-MDT,8,7,1,0,0,0
611,US-PA-MDT,4,4,0,0,0,0
612,US-PA-MDT,4,4,0,0,0,0
613,US-PA-MDT,1,0,1,0,0,0
615,US-PA-MDT,5,5,0,0,0,0
616,US-PA-MDT,3,3,0,0,0,0
617,US-PA-MDT,5,4,1,0,0,0
618,US-PA-MDT,4,4,0,0,0,0
619,US-PA-MDT,1,1,0,0,0,0
620,US-PA-MDT,7,6,0,1,0,0
622,US-PA-MDT,8,5,3,0,0,0
623,US-PA-MDT,3,3,0,0,0,0
624,US-PA-MDT,1,1,0,0,0,0
625,US-PA-MDT,3,2,1,0,0,0
626,US-PA-MDT,2,0,2,0,0,0
628,US-PA-MDT,4,3,1,0,0,0
629,US-PA-MDT,2,2,0,0,0,0
630,US-PA-MDT,21,18,1,2,0,2
631,US-PA-MDT,31,28,2,1,0,1
633,US-PA-MDT,19,14,0,5,0,3
635,US-PA-MDT,2,1,1,0,0,0
638,US-PA-MDT,1,1,0,0,0,0
640,US-PA-MDT,26,0,24,2,0,2
641,US-PA-MDT,18,0,18,0,0,0
644,US-PA-MDT,1,0,1,0,0,0
645,US-PA-MDT,2,0,2,0,0,0
